text,label
The monitor gets the job done but there is room for improvement.,neutral
"Outstanding vacuum cleaner, exceeded all my expectations.",positive
Great product.,positive
Amazing quality.,positive
The vacuum cleaner meets basic expectations but lacks extra features.,neutral
Do not buy.,negative
Really bad.,negative
"Outstanding camera, exceeded all my expectations.",positive
"The fitness tracker is sturdy, fast, and easy to use.",positive
Cheap and useless electric kettle.,negative
Could be better.,neutral
Just okay.,neutral
The smartphone exceeded my expectations and works flawlessly.,positive
"Amazing wireless mouse, 10/10 would buy again.",positive
The speaker overheats constantly and the battery drains fast.,negative
Just okay.,neutral
Hate it.,negative
"Decent tablet for the price, though not outstanding.",neutral
"This laptop is fantastic, well built and reliable.",positive
Not happy at all with the monitor.,negative
Love it!,positive
Meh.,neutral
Average product.,neutral
"The fitness tracker works as described, average performance overall.",neutral
The camera overheats constantly and the battery drains fast.,negative
Waste of money.,negative
"Could be better, could be worse.",neutral
"The speaker is worth every penny, highly satisfied.",positive
The blender is passable.,neutral
"Awful coffee maker, would not recommend.",negative
The tablet broke down after the first use.,negative
The office chair works like a charm.,positive
"Totally worth it, love the smartwatch.",positive
"Solid headphones, no complaints.",positive
"Happy with this monitor, works well.",positive
"Really bad headphones, very disappointed.",negative
"Hate this camera, it keeps breaking.",negative
"I regret buying this tablet, it failed within a week.",negative
"Really bad keyboard, very disappointed.",negative
So frustrated.,negative
Mixed feelings.,neutral
Best purchase.,positive
So happy with this.,positive
"Best air purifier I have ever owned, truly impressive.",positive
It is okay I guess.,neutral
"Worst headphones I have ever bought, completely useless.",negative
Completely useless.,negative
"The router works as described, average performance overall.",neutral
"The tablet is sturdy, fast, and easy to use.",positive
Meh.,neutral
Average product.,neutral
It is okay I guess.,neutral
Absolutely terrible.,negative
"Hate this backpack, it keeps breaking.",negative
10 out of 10.,positive
Hate it.,negative
The vacuum cleaner is rubbish.,negative
Completely useless.,negative
Highly recommend.,positive
"Amazing coffee maker, 10/10 would buy again.",positive
Meh.,neutral
Completely useless.,negative
Fine I guess.,neutral
Awful quality.,negative
10 out of 10.,positive
Could be better.,neutral
"The backpack works as described, average performance overall.",neutral
The electric kettle stopped working after just a few days.,negative
The vacuum cleaner arrived damaged and was hard to return.,negative
The tablet is rubbish.,negative
Total garbage.,negative
